stop_id,name,type,node,lon,lat
0,Stop_0,bus_stop,552842256,394137.0054238353,4991106.395784921
1,Stop_1,bus_stop,445506216,394397.31627495016,4991369.35021926
2,Stop_2,bus_stop,956116503,394178.8496388948,4991294.469956819
3,Stop_3,bus_stop,445506216,394397.31627495016,4991369.35021926
4,Stop_4,bus_stop,12985252654,394180.1336544546,4991707.812445601
5,Stop_5,bus_stop,739524635,394098.204877601,4991847.506679131
6,Stop_6,bus_stop,11292974631,393580.61713674257,4992042.4594939975
7,Stop_7,bus_stop,446770973,393784.95600089023,4992146.056529157
8,Stop_8,bus_stop,445506219,393901.90601021325,4991891.176732693
9,Stop_9,bus_stop,251740376,393585.30871098454,4992058.415680622
10,Stop_10,bus_stop,446770973,393784.95600089023,4992146.056529157
11,Stop_11,bus_stop,739524650,394055.7814353195,4992252.220421281
12,Stop_12,bus_stop,438238691,394255.7221260584,4992333.192472125
13,Stop_13,bus_stop,452446351,394338.54130989796,4992627.906514768
14,Stop_14,bus_stop,276091502,394668.88501104194,4992646.490724538
15,Stop_15,bus_stop,11657164526,395933.054657322,4991608.892943873
16,Stop_16,bus_stop,248847939,395746.848087917,4991435.070778748
17,Stop_17,bus_stop,442330072,395660.19707646914,4991636.769474296
18,Stop_18,bus_stop,308746443,395861.08994238236,4991834.006013423
19,Stop_19,bus_stop,308746700,396144.9635354949,4991693.184298768
20,Stop_20,bus_stop,308746483,395975.3620801665,4991688.473720245
21,Stop_21,bus_stop,308746444,396087.47912947694,4991723.757105267
22,Stop_22,bus_stop,11662867405,395847.1335795649,4991474.532911414
23,Stop_23,bus_stop,308747180,395651.8376492327,4991248.069613484
24,Stop_24,bus_stop,452100025,395616.4310529975,4990986.443571557
25,Stop_25,bus_stop,442330067,395376.60372491356,4991156.133130624
26,Stop_26,bus_stop,538902972,395327.65724590025,4991331.648956983
27,Stop_27,bus_stop,429418282,395324.2817135762,4991142.513892874
28,Stop_28,bus_stop,441266885,395028.0521131718,4991294.320602559
29,Stop_29,bus_stop,257907346,395187.7458642451,4991329.7603242155
30,Stop_30,bus_stop,421303741,394298.3466897744,4993554.654925112
31,Stop_31,bus_stop,443666491,394055.1597045441,4993472.891018947
32,Stop_32,bus_stop,444401446,393742.1917865793,4993269.590862894
33,Stop_33,bus_stop,427910001,393581.8326067821,4992980.590650034
34,Stop_34,bus_stop,439402539,393439.9706761748,4992694.084768448
35,Stop_35,bus_stop,428505270,393050.89214393,4992713.520171105
36,Stop_36,bus_stop,430177110,393109.2688247603,4992500.589376846
37,Stop_37,bus_stop,421303741,394298.3466897744,4993554.654925112
38,Stop_38,bus_stop,443666491,394055.1597045441,4993472.891018947
39,Stop_39,bus_stop,443666480,394246.0295771565,4993502.419787737
40,Stop_40,bus_stop,438376021,394183.3627106325,4993152.445337047
41,Stop_41,bus_stop,443666494,394210.39012820704,4992697.728329495
42,Stop_42,bus_stop,444933568,394020.53257836914,4992608.434002724
43,Stop_43,bus_stop,3485983876,393896.90434787207,4992799.274079366
44,Stop_44,bus_stop,504011519,393737.24199149094,4993065.946309752
45,Stop_45,bus_stop,447893068,393456.16107159597,4992999.182639029
46,Stop_46,bus_stop,444933522,393371.6629090828,4993222.715135297
47,Stop_47,bus_stop,447893069,393445.26729181095,4992919.314099712
48,Stop_48,bus_stop,439402539,393439.9706761748,4992694.084768448
49,Stop_49,bus_stop,248773170,393097.7299358088,4992028.933908998
50,Stop_50,bus_stop,442648990,393306.90416437713,4992232.153757387
51,Stop_51,bus_stop,429173770,393617.4354225335,4992245.215741278
52,Stop_52,bus_stop,13929743,395608.2160411715,4990970.966043784
53,Stop_53,bus_stop,441266844,395339.70923259365,4991001.1842888035
54,Stop_54,bus_stop,538902973,395467.99391344714,4991258.217538778
55,Stop_55,bus_stop,257907349,395665.01546175533,4991080.987274289
56,Stop_56,bus_stop,429418286,395431.79420520307,4991083.544404702
57,Stop_57,bus_stop,1436946150,395590.0321992916,4991498.909990225
58,Stop_58,bus_stop,944666102,395835.6214289544,4991472.598797153
59,Stop_59,bus_stop,11662867398,395928.8440485123,4991552.146941345
60,Stop_60,bus_stop,538902985,395774.9165694649,4991331.893631306
61,Stop_61,bus_stop,12109719440,395792.361250709,4991115.46084953
62,Stop_62,bus_stop,13929743,395608.2160411715,4990970.966043784
63,Stop_63,bus_stop,11287160854,395363.54349433427,4991133.34609344
64,Stop_64,bus_stop,11287160846,395020.9661412922,4991280.525302318
65,Stop_65,bus_stop,538902971,395217.5283570246,4991390.174509611
66,Stop_66,bus_stop,452446338,395009.0738616428,4991304.300702711
